,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed,-additional
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,-9999
84,Ben Hutton,VEG,D,0:41,41,,14:55,1.7,3.0,2.0,,1:07,-3.1,6.5,0.0,,0:12,20.5,7.3,21.8,huttobe01
85,Ben Meyers,TOT,F,0:46,23,,9:35,0.1,1.3,2.7,,0:00,8.8,0.0,0.0,,0:30,3.8,5.7,11.4,meyerbe01
86,Benoit-Olivier Groulx,ANA,C,0:38,45,,10:42,-6.1,0.7,1.9,,0:11,-6.4,6.8,0.0,,1:17,0.4,0.0,11.4,groulbe01
87,Blake Coleman,CGY,C,0:39,78,,14:40,2.9,3.3,2.6,,0:55,-3.7,4.1,0.8,,1:31,7.0,3.5,5.5,colembl01
88,Blake Lizotte,LAK,C,0:30,62,,10:02,-1.2,2.2,1.5,,0:05,11.4,11.3,0.0,,1:42,-2.7,2.3,3.4,lizotbl01
89,Blake Wheeler,NYR,RW,0:37,54,,11:44,-2.5,2.9,2.7,,0:58,-0.6,2.3,0.0,,0:00,,0.0,0.0,wheelbl01
90,Bo Horvat,NYI,C,0:39,81,,15:58,7.4,3.4,3.4,,2:58,1.4,9.4,0.7,,0:44,0.7,2.0,13.1,horvabo01
91,Bobby Brink,PHI,RW,0:37,57,,11:34,-3.4,2.6,2.4,,2:12,-3.4,3.3,1.0,,0:00,-17.9,0.0,0.0,brinkbo01
92,Bobby McMann,TOR,F,0:40,56,,10:33,-1.0,3.2,1.9,,0:30,-8.7,4.2,0.0,,0:29,4.2,0.0,6.5,mcmanbo02
93,Bokondji Imama,OTT,LW,0:27,6,,5:35,-10.4,1.8,0.0,,0:00,,,,,0:00,,,,imamabo01
94,Boone Jenner,CBJ,C,0:48,58,,15:38,2.2,3.2,3.6,,2:44,3.8,4.1,1.1,,1:42,0.7,1.2,6.0,jennebo01
95,Boris Katchouk,TOT,LW,0:40,59,,10:22,1.3,1.6,2.2,,0:04,-13.0,0.0,0.0,,1:01,14.8,2.0,7.9,katchbo01
96,Bowen Byram,TOT,D,0:45,73,,18:16,-2.5,3.2,3.3,,1:07,9.1,5.3,0.0,,0:56,2.0,0.0,3.2,byrambo01
