Rank,Player,Position,year
360,Isaac Poulter,G,2022
361,Jaxson Stauber,G,2022
362,Jesper Vikman,G,2022
363,Arvid Holm,G,2022
364,Jonathan Lemieux,G,2022
365,Tyler Parsons,G,2022
366,Mason Beaupit,G,2022
367,Trent Miner,G,2022
368,Pat Nagle,G,2022
369,Antoine Bibeau,G,2022
370,Ivan Zhigalov,G,2022
371,Jet Greaves,G,2022
372,Callum Booth,G,2022
373,Garin Bjorklund,G,2022
374,Kenneth Appleby,G,2022
375,Jiri Patera,G,2022
376,Logan Flodell,G,2022
377,Colten Ellis,G,2022
378,Vadim Zherenko,G,2022
379,Tyler Brennan,G,2022
380,Dylan Wells,G,2022
381,C.J. Motte,G,2022
382,Calle Clang,G,2022
383,Sebastian Cossa,G,2022
384,Joe Vrbetic,G,2022
385,Dylan Garand,G,2022
386,Thomas Milic,G,2022
387,Olle Eriksson Ek,G,2022
388,Evan Fitzpatrick,G,2022
389,Parker Gahagen,G,2022
390,Mack Guzda,G,2022
391,Hayden Stewart,G,2022
392,Dylan Ferguson,G,2022
393,Adam Scheel,G,2022
394,Mitchell Weeks,G,2022
395,Anson Thornton,G,2022
396,Ryan Fanti,G,2022
397,Dennis Hildeby,G,2022
398,Philippe Desrosiers,G,2022
399,Olivier Rodrigue,G,2022
400,Zane McIntyre,G,2022
401,Dryden McKay,G,2022
402,Domenic DiVincentiis,G,2022
403,Brandon Bussi,G,2022
404,Nolan Maier,G,2022
405,Kyle Keyser,G,2022
406,Isaiah Saville,G,2022
407,David Tendeck,G,2022
408,Beck Warm,G,2022
409,Leevi Merilainen,G,2022
410,Arturs Silovs,G,2022
411,Cory Schneider,G,2022
412,Christopher Gibson,G,2022
413,Magnus Hellberg,G,2022
414,Oscar Dansk,G,2022
415,Adam Lowry,C,2022
416,Patric Hornqvist,RW,2022
417,Lukas Dostal,G,2022
418,Ross Colton,"C,LW",2022
419,Mads Sogaard,G,2022
420,Joel Hofer,G,2022
421,Michael DiPietro,G,2022
422,Paul Stastny,"C,LW",2022
423,Pheonix Copley,G,2022
424,Michael Hutchinson,G,2022
425,Laurent Brossoit,G,2022
426,Alex Lyon,G,2022
427,Evgenii Dadonov,"LW,RW",2022
428,Dominik Kubalik,"LW,RW",2022
429,Jaroslav Halak,G,2022
430,Corey Perry,RW,2022
431,Oliver Ekman-Larsson,D,2022
432,Sean Kuraly,C,2022
433,Felix Sandstrom,G,2022
434,Hugo Alnefelt,G,2022
435,Yanni Gourde,C,2022
436,Michael McNiven,G,2022
437,Justus Annunen,G,2022
438,Zach Sawchenko,G,2022
439,Cal Petersen,G,2022
440,Reilly Smith,RW,2022
441,Alexander Kerfoot,"LW,RW",2022
442,Connor Ingram,G,2022
443,Jonathan Bernier,G,2022
444,Devan Dubnyk,G,2022
445,Pat Maroon,LW,2022
446,Brandon Montour,D,2022
447,Mark Giordano,D,2022
448,Maxime Lagace,G,2022
449,Shayne Gostisbehere,D,2022
450,Jack Roslovic,C,2022
451,Barclay Goodrow,"C,LW",2022
452,Alex Stalock,G,2022
453,Calvin Pickard,G,2022
454,Adam Huska,G,2022
455,J-F Berube,G,2022
456,Nicolas Roy,"C,RW",2022
457,Erik Kallgren,G,2022
458,Mattias Ekholm,D,2022
459,Eeli Tolvanen,LW,2022
460,Brenden Dillon,D,2022
461,Yakov Trenin,LW,2022
462,Denis Gurianov,"LW,RW",2022
463,Braden Holtby,G,2022
464,Kailer Yamamoto,RW,2022
465,Petr Mrazek,G,2022
466,Phil Kessel,RW,2022
467,Kasperi Kapanen,RW,2022
468,Ilya Mikheyev,"LW,RW",2022
469,Kyle Palmieri,RW,2022
470,Anton Khudobin,G,2022
471,Tanner Pearson,LW,2022
472,Arvid Soderblom,G,2022
473,Jack Lafontaine,G,2022
474,Scott Wedgewood,G,2022
475,Dustin Brown,RW,2022
476,Josh Anderson,RW,2022
477,Ivan Prosvetov,G,2022
478,William Karlsson,"C,LW",2022
479,Alex Goligoski,D,2022
480,Luke Schenn,D,2022
481,Jesper Fast,RW,2022
482,Collin Delia,G,2022
483,Kevin Shattenkirk,D,2022
484,Charlie Coyle,C,2022
485,James van Riemsdyk,"LW,RW",2022
486,Jordan Eberle,RW,2022
487,Kyle Okposo,RW,2022
488,Matt Murray,G,2022
489,Mike Matheson,D,2022
490,Luke Kunin,"LW,RW",2022
491,Matt Roy,D,2022
492,Anthony Beauvillier,"LW,RW",2022
493,Nikita Zadorov,D,2022
494,Harri Sateri,G,2022
495,Esa Lindell,D,2022
496,Pierre Engvall,"LW,RW",2022
497,Elvis Merzlikins,G,2022
498,Scott Laughton,"C,LW",2022
499,Malcolm Subban,G,2022
500,Zach Aston-Reese,"LW,RW",2022
501,Nick Paul,"C,LW",2022
502,Tyler Myers,D,2022
503,Dillon Dube,"LW,RW",2022
504,Erik Johnson,D,2022
505,Mike Hoffman,"LW,RW",2022
506,Nico Daws,G,2022
507,Pavel Zacha,"C,LW",2022
508,Colton Sissons,C,2022
509,Cam Fowler,D,2022
510,Milan Lucic,LW,2022
511,Keegan Kolesar,"C,RW",2022
512,Adam Henrique,"C,LW",2022
513,Mikko Koskinen,G,2022
514,Conor Sheary,"LW,RW",2022
515,William Carrier,LW,2022
516,Nick Jensen,D,2022
517,Akira Schmid,G,2022
518,Adam Pelech,D,2022
519,Craig Anderson,G,2022
520,Ryan Suter,D,2022
521,Jake Allen,G,2022
522,Rasmus Ristolainen,D,2022
523,Joel Farabee,"C,LW",2022
524,Zach Parise,"LW,RW",2022
525,Philipp Grubauer,G,2022
526,Warren Foegele,LW,2022
527,Joey Daccord,G,2022
528,Nic Dowd,C,2022
529,Nick Ritchie,LW,2022
530,Frederick Gaudreau,"C,RW",2022
531,Jani Hakanpaa,D,2022
532,Andrew Hammond,G,2022
533,Colton Parayko,D,2022
534,Ryan Pulock,D,2022
535,Brandon Hagel,"LW,RW",2022
536,Josh Bailey,"LW,RW",2022
537,Matt Grzelcyk,D,2022
538,Martin Fehervary,D,2022
539,Cody Ceci,D,2022
540,Danton Heinen,"LW,RW",2022
541,Filip Gustavsson,G,2022
542,Mathieu Joseph,"LW,RW",2022
543,Jonas Brodin,D,2022
544,Brett Pesce,D,2022
545,David Rittich,G,2022
546,Alexis Lafreniere,"LW,RW",2022
547,Erik Gudbranson,D,2022
548,Christopher Tanev,D,2022
549,Nicolas Deslauriers,LW,2022
550,Nathan Bastian,RW,2022
551,Oliver Kylington,D,2022
552,Alexandre Carrier,D,2022
553,Jamie Oleksiak,D,2022
554,Pius Suter,C,2022
555,Alexander Romanov,D,2022
556,Nicolas Aube-Kubel,"LW,RW",2022
557,Brendan Gallagher,RW,2022
558,MacKenzie Blackwood,G,2022
559,Cal Clutterbuck,RW,2022
560,Ryan McDonagh,D,2022
561,Dustin Tokarski,G,2022
562,Mike Reilly,D,2022
563,Ben Chiarot,D,2022
564,Aaron Dell,G,2022
565,Carson Soucy,D,2022
566,Adam Larsson,D,2022
567,Lars Eller,C,2022
568,Ryan Donato,LW,2022
569,Trevor Lewis,"C,RW",2022
570,Justin Holl,D,2022
571,Ryan Lindgren,D,2022
572,Erik Cernak,D,2022
573,Ryan Getzlaf,C,2022
574,Matt Martin,LW,2022
575,Teddy Blueger,C,2022
576,Zach Whitecloud,D,2022
577,Max Domi,"LW,RW",2022
578,Tomas Tatar,"LW,RW",2022
579,J.T. Compher,"C,RW",2022
580,Brian Dumoulin,D,2022
581,Jesperi Kotkaniemi,"C,LW",2022
582,Filip Hronek,D,2022
583,Brayden McNabb,D,2022
584,Owen Tippett,RW,2022
585,Austin Watson,RW,2022
586,Eric Robinson,LW,2022
587,Artem Zub,D,2022
588,Curtis Lazar,"C,RW",2022
589,Andreas Johnsson,"LW,RW",2022
590,Alex Chiasson,RW,2022
591,Sean Monahan,C,2022
592,Gustav Nyquist,"LW,RW",2022
593,Logan O'Connor,"LW,RW",2022
594,Travis Sanheim,D,2022
595,Dmitry Kulikov,D,2022
596,Vladislav Gavrikov,D,2022
597,Ryan Graves,D,2022
598,Kevin Hayes,C,2022
599,Zach Sanford,"LW,RW",2022
600,Jake Evans,"C,RW",2022
601,Jon Gillies,G,2022
602,Nick Foligno,"LW,RW",2022
603,Dylan Cozens,C,2022
604,T.J. Brodie,D,2022
605,Daniel Sprong,"LW,RW",2022
606,David Kampf,C,2022
607,Robby Fabbri,"LW,RW",2022
608,Calle Jarnkrok,"C,RW",2022
609,Jan Rutta,D,2022
610,Nate Schmidt,D,2022
611,Michael Rasmussen,"C,LW",2022
612,Ryan Reaves,RW,2022
613,Pierre-Edouard Bellemare,C,2022
614,Luke Glendening,"C,RW",2022
615,Vladislav Namestnikov,"C,LW",2022
616,Jonas Johansson,G,2022
617,Alex Newhook,"C,LW",2022
618,Rudolfs Balcers,"LW,RW",2022
619,Brandon Carlo,D,2022
620,Cayden Primeau,G,2022
621,Casey Cizikas,C,2022
622,Adam Erne,"LW,RW",2022
623,Alexander Barabanov,"LW,RW",2022
624,Filip Zadina,"LW,RW",2022
625,Jeremy Lauzon,D,2022
626,Ian Cole,D,2022
627,Carl Grundstrom,LW,2022
628,Marco Scandella,D,2022
629,Trent Frederic,"C,LW",2022
630,Blake Lizotte,C,2022
631,Mason Appleton,RW,2022
632,Jake Muzzin,D,2022
633,Zdeno Chara,D,2022
634,Alex Wennberg,C,2022
635,Nicolas Hague,D,2022
636,Marcus Pettersson,D,2022
637,Thomas Greiss,G,2022
638,Nico Sturm,"C,LW",2022
639,Tyler Motte,"LW,RW",2022
640,Nils Hoglander,"LW,RW",2022
641,Noah Gregor,"LW,RW",2022
642,Brock McGinn,"LW,RW",2022
643,Dante Fabbro,D,2022
644,Ryan Lomberg,LW,2022
645,John Marino,D,2022
646,Colin Blackwell,"C,RW",2022
647,Brandon Duhaime,"LW,RW",2022
648,Christian Dvorak,C,2022
649,Oskar Lindblom,LW,2022
650,Sam Gagner,RW,2022
651,Derek Grant,"LW,RW",2022
652,Nick Cousins,LW,2022
653,Brandon Tanev,"LW,RW",2022
654,Max Comtois,LW,2022
655,Connor Clifton,D,2022
656,Tyson Jost,"C,LW",2022
657,Dylan DeMelo,D,2022
658,Wayne Simmonds,"LW,RW",2022
659,Zack Kassian,RW,2022
660,Derick Brassard,"C,LW",2022
661,Nick Bonino,"C,LW",2022
662,Eetu Luostarinen,C,2022
663,Dryden Hunt,"LW,RW",2022
664,Joel Armia,"LW,RW",2022
665,Josh Manson,D,2022
666,Derek Forbort,D,2022
667,Travis Boyd,"C,RW",2022
668,Ondrej Kase,RW,2022
669,Jason Zucker,LW,2022
670,Joonas Donskoi,RW,2022
671,Taylor Raddysh,"LW,RW",2022
672,Michael McLeod,C,2022
673,P.K. Subban,D,2022
674,Logan Stanley,D,2022
675,Mario Ferraro,D,2022
676,Rasmus Asplund,"LW,RW",2022
677,Duncan Keith,D,2022
678,Nick Bjugstad,"C,RW",2022
679,Ilya Lyubushkin,D,2022
680,Martin Jones,G,2022
681,Timothy Liljegren,D,2022
682,Mattias Janmark,"LW,RW",2022
683,Brendan Lemieux,LW,2022
684,Radek Faksa,C,2022
685,Brett Kulak,D,2022
686,Justin Schultz,D,2022
687,Alexander Edler,D,2022
688,Darren Helm,"C,LW",2022
689,Jaden Schwartz,LW,2022
690,Chad Ruhwedel,D,2022
691,Tyler Ennis,"LW,RW",2022
692,Jamie Drysdale,D,2022
693,Jakob Silfverberg,RW,2022
694,Kevin Lankinen,G,2022
695,Jonathan Toews,C,2022
696,Kieffer Bellows,"LW,RW",2022
697,Justin Braun,D,2022
698,Sonny Milano,"LW,RW",2022
699,Jordan Martinook,"LW,RW",2022
700,Mikey Anderson,D,2022
701,Jake Bean,D,2022
702,Oskar Sundqvist,"C,RW",2022
703,Scott Mayfield,D,2022
704,Michael Raffl,LW,2022
705,Brian Boyle,"C,LW",2022
706,Kevin Rooney,"C,LW",2022
707,Tomas Nosek,C,2022
708,Nick Holden,D,2022
709,Nikita Zaitsev,D,2022
710,Jason Dickinson,"C,LW",2022
711,Connor Murphy,D,2022
712,Marcus Johansson,"LW,RW",2022
713,Barrett Hayton,C,2022
714,Marc Staal,D,2022
715,Jacob Middleton,D,2022
716,Andrew Peeke,D,2022
717,Sam Carrick,"C,RW",2022
718,Anton Stralman,D,2022
719,Travis Hamonic,D,2022
720,Evgeny Svechnikov,"LW,RW",2022
721,Isac Lundestrom,C,2022
722,Carl Hagelin,LW,2022
723,Calvin de Haan,D,2022
724,Kaapo Kakko,RW,2022
725,Alex Galchenyuk,"C,LW",2022
726,Michael McCarron,C,2022
727,Victor Rask,"C,LW",2022
728,Ethan Bear,D,2022
729,Henri Jokiharju,D,2022
730,Andreas Athanasiou,"LW,RW",2022
731,Ryan Carpenter,"C,RW",2022
732,Johan Larsson,"C,LW",2022
733,Rasmus Sandin,D,2022
734,Brendan Smith,D,2022
735,Zach Bogosian,D,2022
736,Jake McCabe,D,2022
737,Sam Lafferty,"C,RW",2022
738,Jon Merrill,D,2022
739,Dylan Coghlan,D,2022
