#,PLAYER (TEAM),SCOTT PIANOWSKI9/26,YAHOO STAFF10/3,year
57,Ben Bishop (DAL - G),86,35,2018
58,"Nikolaj Ehlers (WPG - LW,RW,F)",49,73,2018
59,Drew Doughty (LA - D),44,80,2018
60,Sebastian Aho (CAR - C),70,56,2018
61,William Karlsson (VGK - C),58,69,2018
62,"Evander Kane (EDM - LW,F)",62,65,2018
63,"Mikko Rantanen (COL - RW,F)",68,62,2018
64,Matt Murray (TOR - G),66,64,2018
65,"Jonathan Marchessault (VGK - C,LW)",72,60,2018
66,"Viktor Arvidsson (LA - LW,RW)",81,52,2018
67,"Sean Monahan (WPG - C,F)",59,75,2018
68,Shayne Gostisbehere (DET - D),57,79,2018
69,Devan Dubnyk (COL - G),93,46,2018
70,"Rickard Rakell (PIT - LW, RW)",76,63,2018
71,"Vincent Trocheck (NYR - C,F)",103,40,2018
72,"Clayton Keller (ARI - LW,RW)",82,61,2018
73,"Matthew Tkachuk (FLA - LW,F)",78,67,2018
74,"Jonathan Huberdeau (CGY - LW,F)",90,59,2018
75,John Klingberg (TOR - D),51,99,2018
76,"Mikael Granlund (SJ - LW,RW)",96,55,2018
77,Cam Talbot (LA - G),94,58,2018
78,"Sean Couturier (PHI - C,F)",75,86,2018
79,Kris Letang (PIT - D),65,97,2018
80,"Logan Couture (SJ - C,F)",74,89,2018
81,"Brayden Point (TB - C,F)",85,84,2018
82,"Wayne Simmonds (FA - RW,F)",61,109,2018
83,Ilya Kovalchuk (WSH - RW),67,105,2018
84,Torey Krug (STL - D),71,101,2018
85,"Brayden Schenn (STL - C,LW,F)",83,92,2018
86,John Carlson (WSH - D),64,115,2018
87,"Gabriel Landeskog (COL - C,LW)",112,71,2018
88,"Jeff Skinner (BUF - C,LW)",87,96,2018
89,"William Nylander (TOR - C,RW,F)",88,95,2018
90,"Jeff Carter (FA - C,F)",106,78,2018
91,"James van Riemsdyk (BOS - LW,F)",89,102,2018
92,"Patric Hornqvist (FLA - RW,F)",77,119,2018
93,"Jonathan Toews (CHI - C,F)",125,76,2018
94,"Jake Guentzel (CAR - LW,RW)",120,82,2018
95,Dougie Hamilton (NJ - D),69,136,2018
96,"Cam Atkinson (PHI - RW,F)",116,90,2018
97,"Eric Staal (FLA - C,F)",113,93,2018
98,"Kyle Connor (WPG - LW,F)",105,103,2018
99,Tyson Barrie (NSH - D),80,129,2018
100,"Mike Hoffman (SJ - LW,RW)",101,108,2018
101,"Teuvo Teravainen (CAR - LW,RW,F)",97,113,2018
102,"Ryan Johansen (COL - C,F)",100,112,2018
103,"T.J. Oshie (WSH - RW,F)",102,110,2018
104,Dylan Larkin (DET - C),117,98,2018
105,Zach Werenski (CBJ - D),99,116,2018
106,"Alex DeBrincat (DET - LW,RW)",131,85,2018
107,"Reilly Smith (PIT - RW,F)",133,87,2018
108,"Nazem Kadri (CGY - C,F)",123,104,2018
109,"Jason Zucker (NSH - LW,RW)",154,77,2018
110,Pierre-Luc Dubois (WSH - C),132,100,2018
111,"Max Pacioretty (WSH - LW,F)",92,146,2018
112,"Evgenii Dadonov (DAL - LW,RW)",144,94,2018
113,"Yanni Gourde (SEA - LW,F)",156,83,2018
114,Aaron Ekblad (FLA - D),118,125,2018
115,Matt Dumba (TB - D),114,130,2018
116,"Ryan Nugent-Hopkins (EDM - LW,C)",135,111,2018
117,Seth Jones (CHI - D),108,140,2018
118,Nolan Patrick (VGK - C),168,81,2018
119,Keith Yandle (PHI - D),91,160,2018
120,Charlie McAvoy (BOS - D),95,157,2018
121,Travis Konecny (PHI - RW),162,91,2018
122,Rasmus Ristolainen (PHI - D),119,134,2018
123,Alex Pietrangelo (VGK - D),79,180,2018
124,Ryan Ellis (PHI - D),110,149,2018
125,"Sam Reinhart (FLA - C,RW,F)",121,138,2018
126,Nico Hischier (NJ - C),138,121,2018
127,"Jaden Schwartz (SEA - LW,F)",122,141,2018
128,Morgan Rielly (TOR - D),107,159,2018
129,Mark Giordano (TOR - D),73,195,2018
130,"Brendan Gallagher (MTL - RW,F)",163,107,2018
131,"Kyle Palmieri (NYI - RW,F)",183,88,2018
132,Mika Zibanejad (NYR - C),142,133,2018
133,"Tom Wilson (WSH - RW,F)",149,127,2018
134,Oliver Ekman-Larsson (FLA - D),98,184,2018
135,Anders Lee (NYI - LW),155,128,2018
136,"Tyler Toffoli (WPG - C,RW,F)",152,131,2018
137,Ryan O'Reilly (NSH - C),167,117,2018
138,"Mark Stone (VGK - RW,F)",128,156,2018
139,Ryan Suter (DAL - D),165,120,2018
140,"Alex Galchenyuk (ARI - C,LW)",146,139,2018
141,"Chris Kreider (NYR - LW,F)",137,150,2018
142,"Anthony Mantha (VGK - LW,RW)",164,124,2018
143,Rasmus Dahlin (BUF - D),127,161,2018
144,"Kevin Fiala (LA - LW,F)",175,114,2018
145,"Bo Horvat (NYI - C,F)",159,132,2018
146,"Tomas Hertl (VGK - C,LW)",153,144,2018
147,Ivan Provorov (CBJ - D),109,189,2018
148,"Jordan Eberle (SEA - RW,F)",157,143,2018
149,Semyon Varlamov (NYI - G),140,163,2018
150,"Nino Niederreiter (WPG - LW,RW)",161,147,2018
151,"Andrei Svechnikov (CAR - LW,RW)",187,122,2018
152,"J.T. Miller (VAN - LW,RW)",145,168,2018
153,Elias Pettersson (VAN - C),196,118,2018
154,"Derek Stepan (CAR - C,F)",177,137,2018
155,"Craig Smith (DAL - RW,F)",190,126,2018
156,Corey Crawford (CHI - G),124,193,2018
157,Jake Allen (NJ - G),104,216,2018
158,"Zach Hyman (EDM - C,F)",158,164,2018
159,Antti Raanta (CAR - G),143,185,2018
160,"Matt Duchene (DAL - C,F)",150,178,2018
161,"Timo Meier (NJ - LW,RW)",208,123,2018
162,Casey Mittelstadt (COL - C),229,106,2018
163,"James Neal (CBJ - RW,F)",134,204,2018
164,"Patrick Marleau (SJ - C,LW,F)",166,174,2018
165,Kevin Shattenkirk (BOS - D),176,166,2018
166,"Mats Zuccarello (MIN - RW,F)",210,135,2018
167,"Nick Bjugstad (ARI - C,F)",191,155,2018
168,Brandon Montour (FLA - D),171,175,2018
169,Mikhail Sergachev (TB - D),126,223,2018
170,Henrik Lundqvist (WSH - G),111,242,2018
171,"Jake DeBrusk (BOS - LW,RW)",189,165,2018
172,Jake Muzzin (TOR - D),141,217,2018
173,Roberto Luongo (FA - G),130,229,2018
174,Mike Smith (EDM - G),115,254,2018
175,"Pavel Buchnevich (STL - LW,F)",148,222,2018
176,"Derick Brassard (FA - C,F)",201,170,2018
177,"Tyler Johnson (CHI - LW,RW)",207,169,2018
178,Erik Johnson (PHI - D),186,190,2018
179,"Josh Bailey (OTT - RW,F)",226,153,2018
180,"Brandon Saad (STL - LW,RW,F)",212,167,2018
181,Jake Gardiner (CAR - D),147,233,2018
182,"Nick Schmaltz (ARI - C,F)",192,188,2018
183,"Joe Thornton (FLA - C,F)",200,182,2018
184,Justin Schultz (SEA - D),205,179,2018
185,Cory Schneider (NYI - G),129,279,2018
186,"Jakub Vrana (STL - LW,RW,F)",199,187,2018
187,Mike Green (EDM - D),203,186,2018
188,"Max Domi (TOR - C,LW)",245,145,2018
189,Colton Parayko (STL - D),172,219,2018
190,"Corey Perry (EDM - RW,F)",136,,2018
191,"Mikko Koivu (CBJ - C,F)",216,177,2018
192,Ryan Pulock (NYI - D),178,215,2018
193,Will Butcher (PIT - D),170,224,2018
194,Carter Hutton (ARI - G),139,,2018
195,"Kyle Turris (EDM - C,F)",215,181,2018
196,"Paul Stastny (FA - C,F)",,142,2018
197,"Mikael Backlund (CGY - C,F)",247,152,2018
198,Alex Tuch (BUF - RW),195,205,2018
199,Ondrej Kase (CAR - RW),202,200,2018
200,"Justin Williams (CAR - RW,F)",,148,2018
201,"Jakob Silfverberg (ANA - RW,F)",228,176,2018
202,Philipp Grubauer (SEA - G),151,255,2018
203,Kevin Hayes (STL - C),,151,2018
204,Duncan Keith (EDM - D),182,227,2018
205,"Josh Anderson (MTL - RW,F)",,154,2018
206,"Anthony Beauvillier (NSH - LW,F)",174,238,2018
207,"Kevin Labanc (SJ - LW,RW)",,158,2018
208,Nick Leddy (STL - D),160,284,2018
209,Justin Faulk (STL - D),179,237,2018
210,"Bryan Little (ARI - C,RW)",,162,2018
