Rank,Name,year
228,Ryan Suter (DAL - D),2021
229,"Jack Roslovic (NYR - C,F)",2021
230,"Rickard Rakell (PIT - LW, RW)",2021
231,"Ryan Johansen (COL - C,F)",2021
232,Tony DeAngelo (CAR - D),2021
233,"Kyle Palmieri (NYI - RW,F)",2021
234,Marco Rossi (MIN - C),2021
235,Shane Bowers (NJ - C),2021
236,Devon Toews (COL - D),2021
237,"Reilly Smith (PIT - RW,F)",2021
238,"Adam Henrique (EDM - C,F)",2021
239,"Andreas Athanasiou (CHI - C,LW)",2021
240,"James van Riemsdyk (BOS - LW,F)",2021
241,Jaccob Slavin (CAR - D),2021
242,Justin Schultz (SEA - D),2021
243,"Evgenii Dadonov (DAL - LW,RW)",2021
244,Kailer Yamamoto (SEA - C),2021
245,"Brock Nelson (NYI - C,LW)",2021
246,Victor Olofsson (BUF - RW),2021
247,"Mikael Backlund (CGY - C,F)",2021
248,"Clayton Keller (ARI - LW,RW)",2021
249,"Ryan Getzlaf (ANA - C,F)",2021
250,Anthony Cirelli (TB - C),2021
251,"Nino Niederreiter (WPG - LW,RW)",2021
252,Nikita Gusev (TOR - LW),2021
253,Jamie Drysdale (PHI - D),2021
254,Alexander Barabanov (SJ - LW),2021
255,"Jeff Skinner (BUF - C,LW)",2021
256,Andreas Johnsson (PIT - LW),2021
257,"Brandon Pirri (CHI - C,F)",2021
258,Joonas Korpisalo (OTT - G),2021
259,Vitali Kravtsov (VAN - RW),2021
260,"Nick Ritchie (STL - LW,F)",2021
261,Filip Hronek (VAN - D),2021
262,"Marcus Johansson (MIN - LW,RW,F)",2021
263,"David Krejci (BOS - C,F)",2021
264,"Jake DeBrusk (BOS - LW,RW)",2021
265,Ross Colton (COL - LW),2021
266,Colton Parayko (STL - D),2021
267,Jaroslav Halak (NYR - G),2021
268,Jake Muzzin (TOR - D),2021
269,"Mats Zuccarello (MIN - RW,F)",2021
270,Bowen Byram (BUF - D),2021
271,"Paul Stastny (FA - C,F)",2021
272,"Mikael Granlund (SJ - LW,RW)",2021
273,"Max Domi (TOR - C,LW)",2021
274,"Josh Bailey (OTT - RW,F)",2021
275,"Tomas Tatar (SEA - LW,RW)",2021
276,Anton Khudobin (CHI - G),2021
277,"Matt Duchene (DAL - C,F)",2021
278,Kevin Hayes (STL - C),2021
279,"Dylan Strome (WSH - C,F)",2021
280,"Jakob Silfverberg (ANA - RW,F)",2021
281,"Kasperi Kapanen (STL - RW,F)",2021
282,"Jesse Puljujarvi (PIT - RW,F)",2021
283,"Jason Zucker (NSH - LW,RW)",2021
284,Matt Murray (TOR - G),2021
285,Mikko Koskinen (EDM - G),2021
286,"Seth Griffith (EDM - C,RW,F)",2021
287,"Patrick Brown (BOS - C,F)",2021
288,"Joonas Donskoi (SEA - RW,F)",2021
289,"Boone Jenner (CBJ - C,LW,F)",2021
290,Jonathan Quick (NYR - G),2021
291,"Gemel Smith (TB - C,F)",2021
292,Eetu Tuulola (CGY - RW),2021
293,Oskar Lindblom (SJ - RW),2021
294,"Ryan Dzingel (ARI - LW,RW)",2021
295,Nolan Patrick (VGK - C),2021
296,"Zach Parise (COL - LW,F)",2021
297,Jimmy Huntington (WSH - C),2021
298,Braden Holtby (DAL - G),2021
299,Mike Reilly (NYI - D),2021
300,Pavel Francouz (FA - G),2021
301,Martin Jones (TOR - G),2021
302,Pekka Rinne (NSH - G),2021
303,"Gustav Nyquist (NSH - LW,RW,F)",2021
304,Nicholas Robertson (TOR - LW),2021
305,Tyler Bertuzzi (TOR - LW),2021
306,Jonah Gadjovich (FLA - LW),2021
307,"Kyle Rau (MIN - C,F)",2021
308,David Rittich (LA - G),2021
309,Andrew Mangiapane (CGY - LW),2021
310,"Alex Newhook (MTL - C,F)",2021
311,Adam Boqvist (CBJ - D),2021
312,Shea Weber (ARI - D),2021
313,Joel Kiviranta (COL - LW),2021
314,Jonathan Bernier (NJ - G),2021
315,"Erik Haula (NJ - C,LW,F)",2021
316,Noah Dobson (NYI - D),2021
317,"Jonathan Drouin (COL - LW,F)",2021
318,Evan Bouchard (EDM - D),2021
319,Cody Glass (NSH - C),2021
320,Dominik Kahun (EDM - C),2021
321,Jesper Bratt (NJ - RW),2021
322,"Nick Bonino (NYR - C,F)",2021
323,"Cory Conacher (CAR - LW,F)",2021
324,Lucas Raymond (DET - LW),2021
325,Ondrej Kase (CAR - RW),2021
326,Erik Cernak (TB - D),2021
327,"Kevin Labanc (SJ - LW,RW)",2021
328,Connor McMichael (WSH - C),2021
329,Shane Pinto (OTT - RW),2021
330,Arthur Kaliyev (LA - LW),2021
331,Jack Studnicka (SJ - C),2021
332,Philip Tomasino (NSH - C),2021
333,Cole Perfetti (WPG - C),2021
334,"Tyler Ennis (OTT - C,LW,F)",2021
335,Anton Lundell (FLA - C),2021
336,Henrik Lundqvist (WSH - G),2021
337,Moritz Seider (DET - D),2021
338,Keith Yandle (PHI - D),2021
339,Rasmus Ristolainen (PHI - D),2021
340,Alex Tuch (BUF - RW),2021
341,P.K. Subban (NJ - D),2021
342,Shayne Gostisbehere (DET - D),2021
343,Nate Schmidt (WPG - D),2021
344,Tuukka Rask (BOS - G),2021
345,Jacob Trouba (NYR - D),2021
346,Kevin Shattenkirk (BOS - D),2021
347,"Joe Thornton (FLA - C,F)",2021
348,Duncan Keith (EDM - D),2021
349,Josh Morrissey (WPG - D),2021
350,Justin Faulk (STL - D),2021
351,Filip Zadina (SJ - LW),2021
352,Ryan Donato (CHI - LW),2021
353,Radko Gudas (ANA - D),2021
354,"Alexandre Texier (CBJ - C,LW)",2021
355,Jake Gardiner (CAR - D),2021
356,Jordan Kyrou (STL - C),2021
357,"Christian Dvorak (MTL - C,LW,F)",2021
358,Cam Fowler (ANA - D),2021
359,Alex Goligoski (MIN - D),2021
360,Ryan McDonagh (TB - D),2021
361,"Martin Frk (STL - RW,F)",2021
362,"Charlie Coyle (BOS - C,RW,F)",2021
363,Esa Lindell (DAL - D),2021
364,Damon Severson (CBJ - D),2021
365,Jake Bean (CBJ - D),2021
366,Dylan Cozens (BUF - C),2021
367,"Robby Fabbri (DET - C,LW,F)",2021
368,Alexander Romanov (NYI - D),2021
