Name,gp,wins,GA,GAA,saves,shots_against,sv_percent,shutout,manager,year,Position
Pekka Rinne,36,18,105,3.17,899,1004,0.8954183266932271,3,It Burns when I pee,2019,G
Brian Elliott,6,3,17,2.94,118,135,0.8740740740740741,1,It Burns when I pee,2019,G
Matt Murray,6,2,17,2.84,154,171,0.9005847953216374,0,It Burns when I pee,2019,G
Cam Talbot,1,1,0,0,38,38,1,1,It Burns when I pee,2019,G
Cory Schneider,1,1,0,0,34,34,1,1,It Burns when I pee,2019,G
Corey Crawford,5,3,11,2.25,139,150,0.9266666666666666,0,It Burns when I pee,2019,G
Andrei Vasilevskiy,48,32,119,2.48,1339,1458,0.9183813443072703,3,JC's Disciples,2019,G
Carter Hart,39,22,87,2.42,916,1003,0.9132602193419741,1,JC's Disciples,2019,G
Henrik Lundqvist,1,0,4,6,27,31,0.8709677419354839,0,JC's Disciples,2019,G
Alex Stalock,1,0,5,5.01,20,25,0.8,0,JC's Disciples,2019,G
Jordan Binnington,38,23,95,2.51,973,1068,0.9110486891385767,3,Mitchell's Mooners,2019,G
Petr Mrazek,33,19,83,2.57,823,906,0.9083885209713024,3,Mitchell's Mooners,2019,G
Thomas Greiss,28,13,67,2.85,677,744,0.9099462365591398,0,Mitchell's Mooners,2019,G
Carey Price,54,24,152,2.86,1476,1628,0.9066339066339066,2,No Regretzkys,2019,G
Connor Hellebuyck,56,31,133,2.51,1618,1751,0.9240434037692747,6,No Regretzkys,2019,G
Antti Raanta,10,6,19,1.9,315,334,0.9431137724550899,1,No Regretzkys,2019,G
Sergei Bobrovsky,17,7,54,3.54,380,434,0.8755760368663594,1,Sugar Kane,2019,G
David Rittich,42,22,119,2.91,1189,1308,0.9090214067278287,2,Sugar Kane,2019,G
Jaroslav Halak,22,11,54,2.43,623,677,0.9202363367799113,3,Sugar Kane,2019,G
Antti Raanta,4,0,9,3.04,74,83,0.891566265060241,0,Sugar Kane,2019,G
Ilya Samsonov,7,2,20,3.56,149,169,0.8816568047337278,0,Sugar Kane,2019,G
James Reimer,4,2,14,4.47,85,99,0.8585858585858586,0,Sugar Kane,2019,G
Chris Driedger,1,1,4,4,35,39,0.8974358974358975,0,Sugar Kane,2019,G
Anton Khudobin,5,3,10,2.29,122,132,0.9242424242424242,0,Sugar Kane,2019,G
Igor Shesterkin,3,3,6,2.01,94,100,0.94,0,Sugar Kane,2019,G
Mike Smith,5,3,15,3.28,121,136,0.8897058823529411,0,Sugar Kane,2019,G
Alexandar Georgiev,2,1,7,3.52,48,55,0.8727272727272727,0,Sugar Kane,2019,G
Cam Talbot,1,1,2,2.01,32,34,0.9411764705882353,0,Sugar Kane,2019,G
Henrik Lundqvist,1,1,4,4,43,47,0.9148936170212766,0,The Bill Crosby’s,2019,G
Joonas Korpisalo,9,5,29,3.42,217,246,0.8821138211382114,0,The Bill Crosby’s,2019,G
Darcy Kuemper,26,16,60,2.28,762,822,0.927007299270073,2,The Bill Crosby’s,2019,G
Mike Smith,7,3,22,3.47,188,210,0.8952380952380953,0,The Bill Crosby’s,2019,G
Anton Khudobin,1,0,5,5,25,30,0.8333333333333334,0,The Bill Crosby’s,2019,G
Alexandar Georgiev,2,1,6,3.03,34,40,0.85,0,The Bill Crosby’s,2019,G
Pavel Francouz,10,6,29,2.88,287,316,0.9082278481012658,1,The Bill Crosby’s,2019,G
Antti Raanta,7,3,19,3.57,151,170,0.888235294117647,0,The Bill Crosby’s,2019,G
Mackenzie Blackwood,15,9,38,2.55,480,518,0.9266409266409267,2,The Bill Crosby’s,2019,G
Ilya Samsonov,1,1,0,0,23,23,1,1,The Bill Crosby’s,2019,G
Chris Driedger,1,0,0,0,4,4,1,0,The Bill Crosby’s,2019,G
Jaroslav Halak,7,7,12,1.7,179,191,0.93717277486911,0,The Bill Crosby’s,2019,G
Ben Bishop,38,17,89,2.48,1017,1106,0.9195298372513563,2,The Glatt Pack,2019,G
John Gibson,41,16,121,3.05,1114,1235,0.9020242914979757,0,The Glatt Pack,2019,G
Semyon Varlamov,43,18,104,2.61,1110,1214,0.914332784184514,2,The Glatt Pack,2019,G
Jordan Binnington,39,16,100,2.61,1032,1132,0.911660777385159,0,Big Thick Blocks,2020,G
Tristan Jarry,35,22,92,2.78,910,1002,0.908183632734531,2,Big Thick Blocks,2020,G
Casey DeSmith,4,3,13,3.17,99,112,0.8839285714285714,0,Big Thick Blocks,2020,G
Mackenzie Blackwood,12,4,39,3.36,309,348,0.8879310344827587,0,Big Thick Blocks,2020,G
