Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK,manager,year,Position,center,lw,rw,defence,multi_position,GWG
Leon Draisaitl,59,35,37,7,48,20,NA,41,18,Good ontariyah boys,2018,"C,LW",1,1,0,0,1,3
Aaron Ekblad,75,13,22,-2,41,10,NA,107,76,Good ontariyah boys,2018,D,0,0,0,1,0,1
Jordan Eberle,17,6,3,-8,8,3,NA,8,9,Good ontariyah boys,2018,RW,0,0,1,0,0,3
Aleksander Barkov,58,27,46,4,4,26,NA,23,40,Good ontariyah boys,2018,C,1,0,0,0,0,4
Zach Hyman,2,0,0,-2,2,0,NA,3,1,Good ontariyah boys,2018,C,1,0,0,0,0,0
Zach Parise,56,18,19,-17,20,12,NA,43,48,Good ontariyah boys,2018,LW,0,1,0,0,0,2
Ryan Nugent-Hopkins,39,10,16,-12,20,9,NA,31,18,Good ontariyah boys,2018,"LW,C",1,1,0,0,1,0
Logan Couture,69,23,36,-2,18,15,NA,50,46,Hail Satan,2018,C,1,0,0,0,0,3
Mitchell Marner,74,25,62,23,22,19,NA,26,34,Hail Satan,2018,RW,0,0,1,0,0,5
Sebastian Aho,75,30,50,25,24,22,NA,58,33,Hail Satan,2018,C,1,0,0,0,0,7
Vladimir Tarasenko,55,27,21,5,22,15,NA,57,33,Hail Satan,2018,RW,0,0,1,0,0,5
Teuvo Teravainen,74,19,49,27,12,19,NA,28,23,Hail Satan,2018,"LW,RW",0,1,1,0,1,1
Kevin Shattenkirk,29,1,7,-1,0,2,NA,29,45,Hail Satan,2018,D,0,0,0,1,0,0
Duncan Keith,75,6,31,12,66,3,NA,40,133,Hail Satan,2018,D,0,0,0,1,0,1
Esa Lindell,75,9,20,11,31,6,NA,142,140,Hail Satan,2018,D,0,0,0,1,0,1
Tyler Toffoli,44,8,7,-6,6,2,NA,23,11,Hail Satan,2018,"C,RW",1,0,1,0,1,2
Connor McDavid,70,37,68,6,18,31,NA,38,25,Hail Satan,2018,C,1,0,0,0,0,8
Steven Stamkos,75,39,50,1,33,40,NA,67,34,Hail Satan,2018,C,1,0,0,0,0,6
Alex Killorn,54,8,15,13,35,3,NA,60,14,Hail Satan,2018,"LW,RW",0,1,1,0,1,0
Ryan McDonagh,76,9,31,39,34,3,NA,90,147,Hail Satan,2018,D,0,0,0,1,0,1
William Nylander,28,2,14,1,16,4,NA,10,7,Hail Satan,2018,"C,RW",1,0,1,0,1,0
Matt Niskanen,42,4,6,1,23,0,NA,81,71,Hail Satan,2018,D,0,0,0,1,0,0
Auston Matthews,42,22,22,-5,4,11,NA,10,34,I'M BETTMEN!!!,2018,C,1,0,0,0,0,3
Joe Thornton,2,0,1,1,2,0,NA,1,0,I'M BETTMEN!!!,2018,C,1,0,0,0,0,0
Matthew Tkachuk,71,30,38,12,60,22,NA,91,13,I'M BETTMEN!!!,2018,LW,0,1,0,0,0,2
Claude Giroux,73,19,56,10,24,21,NA,28,17,I'M BETTMEN!!!,2018,"LW,C,RW",1,1,1,0,1,4
Jack Eichel,8,3,5,-2,2,3,NA,8,5,I'M BETTMEN!!!,2018,C,1,0,0,0,0,0
