Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK,manager,year,Position,center,lw,rw,defence,multi_position,GWG
Jonathan Drouin,8,2,3,0,0,2,18,13,3,I'M BETTMEN!!!,2019,LW,0,1,0,0,0,NA
Tony DeAngelo,11,2,5,2,11,4,21,3,9,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Travis Konecny,47,18,25,0,16,15,104,45,22,I'M BETTMEN!!!,2019,RW,0,0,1,0,0,NA
Scott Mayfield,2,0,0,0,0,0,4,3,6,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Bryan Rust,44,19,23,6,28,16,120,59,29,I'M BETTMEN!!!,2019,"LW,RW",0,1,1,0,1,NA
Conor Garland,6,0,1,0,0,0,19,4,2,I'M BETTMEN!!!,2019,RW,0,0,1,0,0,NA
Filip Hronek,6,1,0,-7,8,0,11,10,6,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Joel Armia,6,2,2,2,0,1,16,14,3,I'M BETTMEN!!!,2019,RW,0,0,1,0,0,NA
Jakob Chychrun,8,3,1,0,4,2,13,6,10,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Jaden Schwartz,23,8,9,10,10,4,49,28,4,I'M BETTMEN!!!,2019,LW,0,1,0,0,0,NA
Ian Cole,9,1,3,2,4,0,9,12,12,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Connor Murphy,28,1,7,3,23,0,60,59,70,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Nick Foligno,27,6,9,3,17,1,56,85,24,I'M BETTMEN!!!,2019,"LW,RW",0,1,1,0,1,NA
Ryan Graves,23,2,7,9,10,0,45,36,60,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Johnny Boychuk,2,0,0,-1,0,0,2,4,7,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Darnell Nurse,22,1,11,-2,12,3,56,71,55,I'M BETTMEN!!!,2019,D,0,0,0,1,0,NA
Timo Meier,68,22,26,-21,42,9,198,153,37,It Burns when I pee,2019,"LW,RW",0,1,1,0,1,NA
Brady Tkachuk,36,12,10,-3,31,2,134,142,19,It Burns when I pee,2019,LW,0,1,0,0,0,NA
T.J. Oshie,61,23,19,3,24,10,122,82,51,It Burns when I pee,2019,RW,0,0,1,0,0,NA
Micheal Ferland,10,1,3,0,7,0,9,25,1,It Burns when I pee,2019,"LW, RW",0,1,1,0,1,NA
Brent Burns,70,12,33,-22,34,17,225,72,115,It Burns when I pee,2019,D,0,0,0,1,0,NA
Darnell Nurse,45,3,14,1,34,2,107,90,79,It Burns when I pee,2019,D,0,0,0,1,0,NA
Justin Faulk,29,1,6,-4,12,1,59,29,25,It Burns when I pee,2019,D,0,0,0,1,0,NA
Vincent Trocheck,19,3,8,-3,6,2,43,25,14,It Burns when I pee,2019,C,1,0,0,0,0,NA
Mika Zibanejad,50,35,33,13,12,27,180,50,45,It Burns when I pee,2019,C,1,0,0,0,0,NA
Jamie Benn,65,18,19,-3,53,14,153,161,54,It Burns when I pee,2019,"C,LW",1,1,0,0,1,NA
Esa Lindell,40,2,14,6,6,5,55,45,69,It Burns when I pee,2019,D,0,0,0,1,0,NA
Mark Giordano,58,5,26,3,34,11,154,40,144,It Burns when I pee,2019,D,0,0,0,1,0,NA
Dylan Larkin,36,8,13,-16,21,5,108,24,25,It Burns when I pee,2019,C,1,0,0,0,0,NA
Anthony Mantha,29,13,13,-3,20,7,103,35,17,It Burns when I pee,2019,"LW,RW",0,1,1,0,1,NA
Chris Kreider,47,19,16,19,44,8,121,86,34,It Burns when I pee,2019,LW,0,1,0,0,0,NA
Bo Horvat,8,2,1,0,0,0,22,8,10,It Burns when I pee,2019,C,1,0,0,0,0,NA
Brock Nelson,33,14,14,9,16,3,71,21,18,It Burns when I pee,2019,"C,LW",1,1,0,0,1,NA
Alex Killorn,36,15,6,11,8,5,65,31,7,It Burns when I pee,2019,"C,LW",1,1,0,0,1,NA
Viktor Arvidsson,7,2,0,-1,2,1,19,3,2,It Burns when I pee,2019,"LW,RW",0,1,1,0,1,NA
Sean Monahan,28,10,7,-3,13,5,68,22,9,It Burns when I pee,2019,C,1,0,0,0,0,NA
Rasmus Dahlin,25,2,17,-6,14,9,38,33,29,It Burns when I pee,2019,D,0,0,0,1,0,NA
Ilya Kovalchuk,24,6,7,3,2,2,68,31,13,It Burns when I pee,2019,RW,0,0,1,0,0,NA
Aaron Ekblad,22,0,15,2,8,2,44,13,25,It Burns when I pee,2019,D,0,0,0,1,0,NA
Jaccob Slavin,10,0,8,-1,0,1,22,6,16,It Burns when I pee,2019,D,0,0,0,1,0,NA
Adam Henrique,7,2,2,-1,2,1,10,6,3,It Burns when I pee,2019,C,1,0,0,0,0,NA
Tom Wilson,66,19,23,-5,93,7,145,248,57,JC's Disciples,2019,RW,0,0,1,0,0,NA
Mark Stone,65,21,42,15,27,18,168,56,51,JC's Disciples,2019,RW,0,0,1,0,0,NA
John Carlson,69,15,59,14,26,25,189,55,108,JC's Disciples,2019,D,0,0,0,1,0,NA
Tyson Barrie,67,5,29,-5,16,10,163,45,75,JC's Disciples,2019,D,0,0,0,1,0,NA
Alexander Edler,56,5,25,6,60,7,114,104,153,JC's Disciples,2019,D,0,0,0,1,0,NA
Colton Parayko,1,0,0,0,0,0,3,0,0,JC's Disciples,2019,D,0,0,0,1,0,NA
Tyler Seguin,68,17,33,1,22,15,239,88,31,JC's Disciples,2019,C,1,0,0,0,0,NA
Ryan Johansen,18,2,10,-2,12,6,33,17,7,JC's Disciples,2019,C,1,0,0,0,0,NA
Chris Kreider,5,0,3,-1,6,1,8,10,2,JC's Disciples,2019,LW,0,1,0,0,0,NA
Kyle Connor,62,32,24,-3,20,12,207,17,16,JC's Disciples,2019,LW,0,1,0,0,0,NA
Mikael Granlund,6,1,0,1,4,0,9,4,0,JC's Disciples,2019,"LW,RW",0,1,1,0,1,NA
Jonathan Toews,3,0,0,-1,2,0,6,2,1,JC's Disciples,2019,C,1,0,0,0,0,NA
Radko Gudas,3,0,1,1,2,0,6,4,1,JC's Disciples,2019,D,0,0,0,1,0,NA
Max Domi,25,4,10,-3,6,5,62,12,6,JC's Disciples,2019,"C,LW",1,1,0,0,1,NA
Kevin Shattenkirk,31,4,17,10,18,4,69,29,30,JC's Disciples,2019,D,0,0,0,1,0,NA
Patrick Marleau,2,0,1,0,2,0,2,1,3,JC's Disciples,2019,"C,LW",1,1,0,0,1,NA
Oscar Klefbom,54,4,21,-19,22,14,139,34,162,JC's Disciples,2019,D,0,0,0,1,0,NA
Zack Kassian,9,1,3,2,8,0,12,31,1,JC's Disciples,2019,RW,0,0,1,0,0,NA
J.T. Miller,59,22,38,4,43,21,140,103,31,JC's Disciples,2019,"LW,RW",0,1,1,0,1,NA
Alexander Kerfoot,3,1,1,0,2,1,6,1,3,JC's Disciples,2019,"LW,RW,C",1,1,1,0,1,NA
Travis Konecny,2,0,1,1,2,0,5,2,2,JC's Disciples,2019,RW,0,0,1,0,0,NA
Jonathan Marchessault,50,19,19,9,20,8,178,72,11,JC's Disciples,2019,"C,LW",1,1,0,0,1,NA
Ryan Strome,53,13,30,19,36,13,126,34,23,JC's Disciples,2019,C,1,0,0,0,0,NA
David Krejci,5,2,2,1,0,1,6,3,4,JC's Disciples,2019,C,1,0,0,0,0,NA
Ryan Graves,19,3,3,13,8,0,48,40,33,JC's Disciples,2019,D,0,0,0,1,0,NA
Victor Olofsson,12,5,5,-4,0,4,28,2,5,JC's Disciples,2019,LW,0,1,0,0,0,NA
Anthony Duclair,12,6,3,-6,4,4,22,14,9,JC's Disciples,2019,C,1,0,0,0,0,NA
Patric Hornqvist,24,8,7,2,12,5,89,38,13,JC's Disciples,2019,RW,0,0,1,0,0,NA
Tony DeAngelo,24,4,13,8,24,7,54,12,27,JC's Disciples,2019,D,0,0,0,1,0,NA
Vincent Trocheck,3,1,0,0,7,0,7,6,0,JC's Disciples,2019,C,1,0,0,0,0,NA
Robert Hagg,1,0,0,0,0,0,1,3,1,JC's Disciples,2019,D,0,0,0,1,0,NA
Ondrej Palat,21,4,6,8,4,1,32,42,17,JC's Disciples,2019,LW,0,1,0,0,0,NA
Brenden Dillon,6,0,0,1,13,0,6,12,4,JC's Disciples,2019,D,0,0,0,1,0,NA
Jaccob Slavin,4,1,0,2,0,0,11,4,6,JC's Disciples,2019,D,0,0,0,1,0,NA
Auston Matthews,70,47,33,18,8,25,290,40,60,Mitchell's Mooners,2019,C,1,0,0,0,0,NA
Logan Couture,40,12,22,2,16,8,91,43,33,Mitchell's Mooners,2019,C,1,0,0,0,0,NA
Quinn Hughes,18,2,10,-3,0,9,30,3,6,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Elias Lindholm,65,27,25,-4,18,19,156,82,37,Mitchell's Mooners,2019,"C,RW",1,0,1,0,1,NA
Sam Reinhart,56,17,18,-24,18,11,114,30,23,Mitchell's Mooners,2019,"C,RW",1,0,1,0,1,NA
Mike Hoffman,67,28,29,-6,28,20,208,33,22,Mitchell's Mooners,2019,"LW,RW",0,1,1,0,1,NA
Evgenii Dadonov,59,21,17,-10,10,15,143,27,20,Mitchell's Mooners,2019,"LW,RW",0,1,1,0,1,NA
Victor Hedman,64,10,43,27,31,20,149,73,94,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Keith Yandle,69,5,39,0,20,21,129,18,51,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Ryan McDonagh,15,1,4,-1,4,0,15,14,32,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Nikita Zadorov,58,3,7,1,61,0,57,153,63,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Taylor Hall,62,16,34,-15,32,17,222,46,27,Mitchell's Mooners,2019,LW,0,1,0,0,0,NA
Evander Kane,63,25,20,-15,118,18,213,132,25,Mitchell's Mooners,2019,LW,0,1,0,0,0,NA
Jaccob Slavin,11,0,5,3,0,0,23,1,14,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Mark Borowiecki,35,6,6,-6,31,0,41,123,85,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
John Klingberg,37,5,19,-1,8,13,75,15,49,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Jakob Chychrun,3,0,0,-2,0,0,4,2,9,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Phillip Danault,7,0,4,-1,6,0,7,10,6,Mitchell's Mooners,2019,C,1,0,0,0,0,NA
Barclay Goodrow,12,0,2,-3,19,0,17,26,10,Mitchell's Mooners,2019,C,1,0,0,0,0,NA
Matt Niskanen,8,1,2,15,2,2,11,14,16,Mitchell's Mooners,2019,D,0,0,0,1,0,NA
Andreas Athanasiou,8,1,1,-1,4,0,14,8,3,Mitchell's Mooners,2019,"C,LW",1,1,0,0,1,NA
Nicklas Backstrom,58,10,41,0,10,16,126,29,44,No Regretzkys,2019,C,1,0,0,0,0,NA
Ryan Nugent-Hopkins,52,20,30,1,31,19,143,29,40,No Regretzkys,2019,"LW,C",1,1,0,0,1,NA
Brayden McNabb,69,2,5,0,40,0,71,199,130,No Regretzkys,2019,D,0,0,0,1,0,NA
Aleksander Barkov,64,18,41,5,16,18,161,20,35,No Regretzkys,2019,C,1,0,0,0,0,NA
Jonathan Huberdeau,65,22,53,5,28,28,142,46,26,No Regretzkys,2019,LW,0,1,0,0,0,NA
Clayton Keller,50,11,18,-3,24,9,126,14,8,No Regretzkys,2019,"LW,RW",0,1,1,0,1,NA
Nikita Kucherov,65,33,51,29,36,25,206,37,18,No Regretzkys,2019,RW,0,0,1,0,0,NA
Phil Kessel,41,9,14,-22,18,13,102,7,15,No Regretzkys,2019,RW,0,0,1,0,0,NA
Rasmus Dahlin,24,1,15,2,20,7,33,26,14,No Regretzkys,2019,D,0,0,0,1,0,NA
Miro Heiskanen,61,7,25,17,12,7,144,38,79,No Regretzkys,2019,D,0,0,0,1,0,NA
Mikhail Sergachev,67,9,24,17,58,12,114,102,97,No Regretzkys,2019,D,0,0,0,1,0,NA
Roman Josi,69,16,49,22,41,23,260,52,108,No Regretzkys,2019,D,0,0,0,1,0,NA
Claude Giroux,67,20,30,5,28,18,192,45,16,No Regretzkys,2019,"LW,C,RW",1,1,1,0,1,NA
Andrei Svechnikov,63,24,33,9,52,19,175,107,26,No Regretzkys,2019,"LW,RW",0,1,1,0,1,NA
Joel Edmundson,41,5,7,0,35,0,62,74,53,No Regretzkys,2019,D,0,0,0,1,0,NA
Brock Nelson,3,1,0,-1,0,0,10,2,3,No Regretzkys,2019,"C,LW",1,1,0,0,1,NA
Elias Pettersson,67,28,38,19,16,23,163,62,41,Sugar Kane,2019,C,1,0,0,0,0,NA
Tomas Hertl,41,12,19,-16,14,7,98,26,20,Sugar Kane,2019,"C,LW",1,1,0,0,1,NA
Brock Boeser,3,0,2,1,0,0,9,1,0,Sugar Kane,2019,RW,0,0,1,0,0,NA
Morgan Rielly,27,3,17,1,18,5,67,17,34,Sugar Kane,2019,D,0,0,0,1,0,NA
Jack Eichel,67,36,41,3,34,27,225,40,38,Sugar Kane,2019,C,1,0,0,0,0,NA
Brad Marchand,69,28,58,26,82,28,180,54,19,Sugar Kane,2019,LW,0,1,0,0,0,NA
Blake Wheeler,70,22,43,4,37,22,178,99,50,Sugar Kane,2019,RW,0,0,1,0,0,NA
Shea Weber,65,15,21,9,33,8,185,112,114,Sugar Kane,2019,D,0,0,0,1,0,NA
Cale Makar,57,12,38,12,12,19,121,45,47,Sugar Kane,2019,D,0,0,0,1,0,NA
Josh Morrissey,12,1,7,-9,2,5,32,11,8,Sugar Kane,2019,D,0,0,0,1,0,NA
Jack Hughes,1,0,0,-1,0,0,1,0,0,Sugar Kane,2019,C,1,0,0,0,0,NA
Anders Lee,10,4,2,5,4,0,16,15,5,Sugar Kane,2019,LW,0,1,0,0,0,NA
Cam Atkinson,18,3,8,-1,4,5,65,13,12,Sugar Kane,2019,RW,0,0,1,0,0,NA
Dustin Brown,2,0,0,-1,2,0,3,7,0,Sugar Kane,2019,"LW,RW",0,1,1,0,1,NA
Victor Olofsson,13,4,3,-5,4,5,30,3,2,Sugar Kane,2019,LW,0,1,0,0,0,NA
Justin Schultz,2,0,2,5,0,0,3,0,2,Sugar Kane,2019,D,0,0,0,1,0,NA
Deryk Engelland,5,0,0,-1,0,0,9,18,7,Sugar Kane,2019,D,0,0,0,1,0,NA
Brandon Tanev,56,10,8,-7,14,1,70,197,48,Sugar Kane,2019,"LW,RW",0,1,1,0,1,NA
Ryan Reaves,2,0,0,-2,0,0,2,9,0,Sugar Kane,2019,RW,0,0,1,0,0,NA
Alex Tuch,1,0,0,-1,0,0,0,0,0,Sugar Kane,2019,RW,0,0,1,0,0,NA
Adam Henrique,1,0,0,-1,0,0,1,0,2,Sugar Kane,2019,C,1,0,0,0,0,NA
Brock Nelson,4,0,2,-4,0,0,8,4,3,Sugar Kane,2019,"C,LW",1,1,0,0,1,NA
Reilly Smith,9,1,4,0,6,1,20,3,2,Sugar Kane,2019,RW,0,0,1,0,0,NA
Radko Gudas,33,2,6,11,15,0,51,90,34,Sugar Kane,2019,D,0,0,0,1,0,NA
Pavel Buchnevich,1,0,1,0,0,0,2,0,0,Sugar Kane,2019,LW,0,1,0,0,0,NA
Jakub Vrana,44,15,17,-2,8,8,113,22,11,Sugar Kane,2019,"LW,RW",0,1,1,0,1,NA
Andreas Athanasiou,1,0,0,-2,0,0,1,3,1,Sugar Kane,2019,"C,LW",1,1,0,0,1,NA
Derick Brassard,1,0,0,-1,0,0,2,1,1,Sugar Kane,2019,C,1,0,0,0,0,NA
Artturi Lehkonen,5,2,1,-4,0,0,8,11,2,Sugar Kane,2019,LW,0,1,0,0,0,NA
Jake Guentzel,13,5,11,9,6,4,35,12,7,Sugar Kane,2019,"LW,RW",0,1,1,0,1,NA
Seth Jones,31,3,12,12,8,3,73,39,66,Sugar Kane,2019,D,0,0,0,1,0,NA
Roman Polak,4,0,0,-3,0,0,2,7,11,Sugar Kane,2019,D,0,0,0,1,0,NA
Jaden Schwartz,1,0,0,-1,0,0,2,3,1,Sugar Kane,2019,LW,0,1,0,0,0,NA
Matt Martin,1,0,0,1,0,0,0,7,0,Sugar Kane,2019,LW,0,1,0,0,0,NA
Brent Seabrook,1,0,0,0,0,0,1,0,1,Sugar Kane,2019,D,0,0,0,1,0,NA
Brenden Dillon,2,0,0,-1,4,0,0,4,2,Sugar Kane,2019,D,0,0,0,1,0,NA
Matt Niskanen,1,0,0,0,2,0,2,0,0,Sugar Kane,2019,D,0,0,0,1,0,NA
Neal Pionk,38,3,21,-3,22,14,105,98,42,Sugar Kane,2019,D,0,0,0,1,0,NA
Shayne Gostisbehere,2,0,0,2,0,0,3,0,2,Sugar Kane,2019,D,0,0,0,1,0,NA
Vincent Trocheck,1,0,1,0,0,0,2,4,0,Sugar Kane,2019,C,1,0,0,0,0,NA
Jaccob Slavin,1,0,1,-2,0,0,2,0,0,Sugar Kane,2019,D,0,0,0,1,0,NA
Dylan Larkin,1,1,0,1,0,1,4,0,0,Sugar Kane,2019,C,1,0,0,0,0,NA
Noel Acciari,2,0,0,1,2,0,2,6,2,Sugar Kane,2019,C,1,0,0,0,0,NA
Patrik Laine,21,12,7,1,8,7,72,28,10,Sugar Kane,2019,"LW,RW",0,1,1,0,1,NA
Tanner Pearson,5,1,1,-4,0,1,8,1,5,Sugar Kane,2019,LW,0,1,0,0,0,NA
Jake Virtanen,1,0,0,0,0,0,5,1,0,Sugar Kane,2019,RW,0,0,1,0,0,NA
David Krejci,5,0,2,0,4,0,9,3,3,Sugar Kane,2019,C,1,0,0,0,0,NA
Joe Pavelski,14,3,5,0,7,4,27,18,9,Sugar Kane,2019,"C,RW",1,0,1,0,1,NA
Marcus Foligno,2,0,0,0,2,0,3,4,2,Sugar Kane,2019,LW,0,1,0,0,0,NA
Joel Armia,4,1,0,-2,6,0,5,13,1,Sugar Kane,2019,RW,0,0,1,0,0,NA
Kailer Yamamoto,1,0,0,0,0,0,0,2,0,Sugar Kane,2019,C,1,0,0,0,0,NA
Jakob Chychrun,1,0,0,0,2,0,6,0,0,Sugar Kane,2019,D,0,0,0,1,0,NA
Ian Cole,3,0,0,-2,0,0,3,2,5,Sugar Kane,2019,D,0,0,0,1,0,NA
David Savard,4,0,2,-1,6,1,9,6,14,Sugar Kane,2019,D,0,0,0,1,0,NA
Dominik Kubalik,5,1,1,-1,2,0,7,6,1,Sugar Kane,2019,LW,0,1,0,0,0,NA
Sidney Crosby,40,15,28,-9,15,15,106,28,17,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Artemi Panarin,69,32,63,36,20,24,209,25,18,The Bill Crosby’s,2019,LW,0,1,0,0,0,NA
Patrik Laine,45,16,26,9,12,9,145,68,24,The Bill Crosby’s,2019,"LW,RW",0,1,1,0,1,NA
Torey Krug,58,9,35,-3,31,25,138,31,47,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
John Klingberg,17,1,3,-10,14,2,36,13,18,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Aaron Ekblad,40,5,18,11,18,3,94,17,54,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Sean Couturier,55,15,31,22,14,8,149,49,20,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Boone Jenner,4,0,0,-3,6,0,11,5,2,The Bill Crosby’s,2019,"C,LW",1,1,0,0,1,NA
Alex DeBrincat,57,14,23,-7,8,12,165,51,18,The Bill Crosby’s,2019,"LW,RW",0,1,1,0,1,NA
Kyle Palmieri,58,23,16,-8,39,18,135,67,31,The Bill Crosby’s,2019,RW,0,0,1,0,0,NA
Erik Karlsson,56,6,34,-15,16,13,120,26,74,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Pierre-Luc Dubois,4,2,1,1,5,1,9,10,3,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Jeff Skinner,30,11,6,-4,14,3,102,10,4,The Bill Crosby’s,2019,"C,LW",1,1,0,0,1,NA
Brayden Point,15,7,8,2,0,3,29,8,9,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Jonathan Toews,2,1,0,-2,0,0,5,2,1,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Jakob Silfverberg,8,2,3,-2,6,0,16,1,8,The Bill Crosby’s,2019,RW,0,0,1,0,0,NA
Deryk Engelland,2,0,0,-3,2,0,1,7,5,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Shayne Gostisbehere,1,0,0,-1,2,0,2,1,0,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Hampus Lindholm,1,0,0,0,4,0,1,0,2,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Zdeno Chara,13,2,5,4,8,0,16,17,17,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Matt Niskanen,6,0,1,-4,2,1,11,16,6,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Jean-Gabriel Pageau,42,15,11,-11,38,10,88,88,31,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Brent Seabrook,1,0,1,0,0,0,1,3,1,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Calvin de Haan,2,0,0,0,0,0,0,7,6,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Jared McCann,3,1,1,0,4,0,6,4,0,The Bill Crosby’s,2019,"C,LW",1,1,0,0,1,NA
Vladislav Namestnikov,1,0,0,0,0,0,1,0,0,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Alex Goligoski,30,2,12,-4,6,5,41,31,51,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Brendan Lemieux,5,0,1,-3,16,0,5,9,3,The Bill Crosby’s,2019,LW,0,1,0,0,0,NA
Brock Nelson,2,0,1,-1,0,0,5,2,1,The Bill Crosby’s,2019,"C,LW",1,1,0,0,1,NA
Ben Chiarot,44,6,5,3,49,0,83,95,91,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Zack Kassian,25,6,6,-9,42,0,43,53,2,The Bill Crosby’s,2019,RW,0,0,1,0,0,NA
Dustin Brown,4,0,1,0,2,1,10,13,0,The Bill Crosby’s,2019,"LW,RW",0,1,1,0,1,NA
Alex Tuch,5,1,1,0,0,0,12,7,2,The Bill Crosby’s,2019,RW,0,0,1,0,0,NA
Noel Acciari,2,0,0,-1,0,0,2,6,3,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Andre Burakovsky,3,0,0,-3,0,0,3,2,3,The Bill Crosby’s,2019,LW,0,1,0,0,0,NA
William Karlsson,7,0,1,1,0,0,17,2,5,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Ondrej Palat,4,1,1,0,0,0,6,10,6,The Bill Crosby’s,2019,LW,0,1,0,0,0,NA
Kevin Shattenkirk,18,1,4,6,8,0,27,18,16,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Phillip Danault,2,1,0,0,0,0,7,1,0,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Dominik Kubalik,8,5,1,0,4,0,22,2,0,The Bill Crosby’s,2019,LW,0,1,0,0,0,NA
Dylan Larkin,4,2,3,0,4,0,9,3,2,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
David Savard,1,0,0,0,0,0,4,1,4,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Dmitry Orlov,10,1,2,2,8,0,13,12,13,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Zach Hyman,15,5,4,1,9,1,35,14,9,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Rasmus Sandin,2,0,0,-1,0,0,2,0,2,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Chris Wagner,3,0,0,-1,2,0,5,8,2,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Ian Cole,2,0,1,3,0,0,5,2,3,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Damon Severson,15,1,8,-6,10,4,26,16,26,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Nick Suzuki,5,1,3,-6,0,3,12,1,1,The Bill Crosby’s,2019,C,1,0,0,0,0,NA
Roman Polak,1,0,0,0,0,0,0,4,2,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Brady Skjei,1,0,0,-2,0,0,4,4,1,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Kevin Fiala,11,9,7,0,4,5,45,2,3,The Bill Crosby’s,2019,LW,0,1,0,0,0,NA
Carl Gunnarsson,2,0,0,1,0,0,3,0,4,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Tyler Ennis,8,1,1,-3,4,0,16,17,4,The Bill Crosby’s,2019,"LW,RW",0,1,1,0,1,NA
Adam Fox,2,1,3,3,2,0,1,1,2,The Bill Crosby’s,2019,D,0,0,0,1,0,NA
Alex Ovechkin,54,34,17,-11,20,16,236,145,25,The Glatt Pack,2019,LW,0,1,0,0,0,NA
Vladimir Tarasenko,8,3,6,0,0,3,23,16,4,The Glatt Pack,2019,RW,0,0,1,0,0,NA
Evgeni Malkin,28,13,20,-8,32,13,70,28,10,The Glatt Pack,2019,C,1,0,0,0,0,NA
Mark Scheifele,60,26,40,0,43,20,142,32,42,The Glatt Pack,2019,C,1,0,0,0,0,NA
Rickard Rakell,55,12,26,0,10,8,156,66,27,The Glatt Pack,2019,"LW, RW",0,1,1,0,1,NA
Lawson Crouse,53,11,6,-5,20,0,91,162,22,The Glatt Pack,2019,LW,0,1,0,0,0,NA
Alexander Radulov,55,15,18,7,40,10,119,41,39,The Glatt Pack,2019,RW,0,0,1,0,0,NA
Oliver Ekman-Larsson,66,9,21,-3,38,7,135,129,65,The Glatt Pack,2019,D,0,0,0,1,0,NA
Blake Coleman,48,18,7,-5,34,0,147,148,36,The Glatt Pack,2019,"LW,RW",0,1,1,0,1,NA
Erik Gustafsson,66,6,23,-10,27,9,103,86,58,The Glatt Pack,2019,D,0,0,0,1,0,NA
Zach Werenski,63,20,21,9,10,13,187,36,58,The Glatt Pack,2019,D,0,0,0,1,0,NA
Vince Dunn,70,9,14,16,27,10,138,50,47,The Glatt Pack,2019,D,0,0,0,1,0,NA
Evgeny Kuznetsov,52,16,24,0,22,9,109,31,13,The Glatt Pack,2019,C,1,0,0,0,0,NA
Anze Kopitar,49,15,28,7,12,14,86,37,36,The Glatt Pack,2019,C,1,0,0,0,0,NA
James van Riemsdyk,46,14,15,4,4,7,96,18,14,The Glatt Pack,2019,LW,0,1,0,0,0,NA
Brayden Schenn,52,13,19,-2,29,7,108,111,33,Big Thick Blocks,2020,"C,RW",1,0,1,0,1,NA
David Perron,48,16,33,5,20,19,133,37,23,Big Thick Blocks,2020,"LW,RW",0,1,1,0,1,NA
Mikhail Sergachev,54,4,25,6,26,8,103,65,71,Big Thick Blocks,2020,D,0,0,0,1,0,NA
Ben Chiarot,2,0,0,-2,5,0,3,7,2,Big Thick Blocks,2020,D,0,0,0,1,0,NA
Dylan Larkin,13,4,3,-4,11,1,40,14,5,Big Thick Blocks,2020,C,1,0,0,0,0,NA
Nicklas Backstrom,51,15,35,-1,14,20,88,21,25,Big Thick Blocks,2020,C,1,0,0,0,0,NA
Jonathan Marchessault,27,8,13,7,33,2,89,17,6,Big Thick Blocks,2020,"C,LW",1,1,0,0,1,NA
Evander Kane,55,22,27,3,40,7,193,94,22,Big Thick Blocks,2020,LW,0,1,0,0,0,NA
Blake Wheeler,40,10,23,-17,36,13,87,45,20,Big Thick Blocks,2020,"C,RW",1,0,1,0,1,NA
Andrei Svechnikov,51,14,25,0,44,17,134,106,17,Big Thick Blocks,2020,"LW,RW",0,1,1,0,1,NA
Charlie McAvoy,46,4,23,17,32,7,84,58,72,Big Thick Blocks,2020,D,0,0,0,1,0,NA
